iter	Passed	Remaining
0	1	192
1	3	183
2	5	176
3	6	160
4	8	160
5	10	159
6	11	158
7	13	158
8	15	157
9	17	155
10	19	153
11	20	152
12	22	150
13	24	148
14	25	147
15	27	145
16	33	163
17	35	160
18	37	158
19	38	155
20	40	153
21	42	150
22	44	148
23	45	145
24	47	142
25	49	140
26	51	138
27	52	135
28	54	133
29	56	131
30	58	129
31	60	127
32	61	125
33	63	123
34	65	121
35	67	119
36	68	117
37	70	114
38	95	149
39	97	145
40	98	142
41	99	137
42	101	134
43	103	131
44	104	128
45	106	125
46	108	122
47	110	119
48	111	116
49	113	113
50	115	110
51	116	107
52	118	105
53	120	102
54	121	99
55	123	96
56	124	94
57	126	91
58	128	89
59	130	86
60	133	85
61	135	82
62	136	80
63	138	78
64	140	75
65	142	73
66	143	70
67	145	68
68	147	66
69	149	63
70	150	61
71	152	59
72	154	57
73	156	54
74	158	52
75	159	50
76	164	49
77	166	46
78	167	44
79	169	42
80	171	40
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	181	27
87	183	25
88	185	22
89	187	20
90	188	18
91	191	16
92	192	14
93	194	12
94	196	10
95	198	8
96	199	6
97	201	4
98	203	2
99	204	0
